"","Film","Genre","Lead.Studio","Audience..score..","Profitability","Rotten.Tomatoes..","Worldwide.Gross","Year"
"1","27 Dresses","Comedy","Fox",71,5.34,40,5.34,2008
"3","A Dangerous Method","Drama","Independent",89,0.45,79,0.45,2011
"4","A Serious Man","Drama","Universal",64,4.38,89,4.38,2009
"5","Across the Universe","Romance","Independent",84,0.65,54,0.65,2007
"6","Beginners","Comedy","Independent",80,4.47,84,4.47,2011
"7","Dear John","Drama","Sony",66,4.6,29,4.6,2010
"8","Enchanted","Comedy","Disney",80,4.01,93,4.01,2007
"10","Four Christmases","Comedy","Warner Bros.",52,2.02,26,2.02,2008
"11","Ghosts of Girlfriends Past","Comedy","Warner Bros.",47,2.04,27,2.04,2009
"12","Gnomeo and Juliet","Animation","Disney",52,5.39,56,5.39,2011
"13","Going the Distance","Comedy","Warner Bros.",56,1.31,53,1.31,2010
"14","Good Luck Chuck","Comedy","Lionsgate",61,2.37,3,2.37,2007
"15","He's Just Not That Into You","Comedy","Warner Bros.",60,7.15,42,7.15,2009
"17","I Love You Phillip Morris","Comedy","Independent",57,1.34,71,1.34,2010
"18","It's Complicated","Comedy","Universal",63,2.64,56,2.64,2009
"20","Just Wright","Comedy","Fox",58,1.8,45,1.8,2010
"21","Killers","Action","Lionsgate",45,1.25,11,1.25,2010
"22","Knocked Up","Comedy","Universal",83,6.64,91,6.64,2007
"23","Leap Year","Comedy","Universal",49,1.72,21,1.72,2010
"24","Letters to Juliet","Comedy","Summit",62,2.64,40,2.64,2010
"25","License to Wed","Comedy","Warner Bros.",55,1.98,8,1.98,2007
"26","Life as We Know It","Comedy","Independent",62,2.53,28,2.53,2010
"27","Love & Other Drugs","Comedy","Fox",55,1.82,48,1.82,2010
"28","Love Happens","Drama","Universal",40,2,18,2,2009
"29","Made of Honor","Comedy","Sony",61,2.65,13,2.65,2008
"31","Marley and Me","Comedy","Fox",77,3.75,63,3.75,2008
"33","Miss Pettigrew Lives for a Day","Comedy","Independent",70,0.25,78,0.25,2008
"34","Monte Carlo","Romance","20th Century Fox",50,1.98,38,1.98,2011
"35","Music and Lyrics","Romance","Warner Bros.",70,3.65,63,3.65,2007
"36","My Week with Marilyn","Drama","The Weinstein Company",84,0.83,83,0.83,2011
"37","New Year's Eve","Romance","Warner Bros.",48,2.54,8,2.54,2011
"38","Nick and Norah's Infinite Playlist","Comedy","Sony",67,3.35,73,3.35,2008
"39","No Reservations","Comedy","",64,3.31,39,3.31,2007
"40","Not Easily Broken","Drama","Independent",66,2.14,34,2.14,2009
"41","One Day","Romance","Independent",54,3.68,37,3.68,2011
"43","Over Her Dead Body","Comedy","New Line",47,2.07,15,2.07,2008
"44","P.S. I Love You","Romance","Independent",82,5.1,21,5.1,2007
"45","Penelope","Comedy","Summit",74,1.38,52,1.38,2008
"46","Rachel Getting Married","Drama","Independent",61,1.38,85,1.38,2008
"47","Remember Me","Drama","Summit",70,3.49,28,3.49,2010
"48","Sex and the City","Comedy","Warner Bros.",81,7.22,49,7.22,2008
"49","Sex and the City 2","Comedy","Warner Bros.",49,2.88,15,2.88,2010
"50","She's Out of My League","Comedy","Paramount",60,2.44,57,2.44,2010
"52","Tangled","Animation","Disney",88,1.37,89,1.37,2010
"53","The Back-up Plan","Comedy","CBS",47,2.2,20,2.2,2010
"54","The Curious Case of Benjamin Button","Fantasy","Warner Bros.",81,1.78,73,1.78,2008
"55","The Duchess","Drama","Paramount",68,3.21,60,3.21,2008
"56","The Heartbreak Kid","Comedy","Paramount",41,2.13,30,2.13,2007
"57","The Invention of Lying","Comedy","Warner Bros.",47,1.75,56,1.75,2009
"59","The Time Traveler's Wife","Drama","Paramount",65,2.6,38,2.6,2009
"61","The Ugly Truth","Comedy","Independent",68,5.4,14,5.4,2009
"63","Twilight: Breaking Dawn","Romance","Independent",68,6.38,26,6.38,2011
"64","Tyler Perry's Why Did I get Married","Romance","Independent",47,3.72,46,3.72,2007
"65","Valentine's Day","Comedy","Warner Bros.",54,4.18,17,4.18,2010
"66","Waiting For Forever","Romance","Independent",53,0,6,0,2011
"68","WALL-E","Animation","Disney",89,2.9,96,2.9,2008
"69","Water For Elephants","Drama","20th Century Fox",72,3.08,60,3.08,2011
"70","What Happens in Vegas","Comedy","Fox",72,6.27,28,6.27,2008
"72","You Will Meet a Tall Dark Stranger","Comedy","Independent",35,1.21,43,1.21,2010
"73","Youth in Revolt","Comedy","The Weinstein Company",52,1.09,68,1.09,2010
"74","Zack and Miri Make a Porno","Romance","The Weinstein Company",70,1.75,64,1.75,2008
